Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,core,14,4,0.81,0.48,1.98
Default,core,14,8,0.93,0.27,1.73
Default,core,14,16,0.92,0.26,1.72
Default,core,14,32,1.13,0.28,1.91
Default,core,14,64,0.95,0.58,2.12
Default,core,14,128,1.44,0.74,2.49
Default,core,14,256,1.47,0.73,2.47
Default,core,14,512,1.59,0.83,2.58
Default,core,14,1024,2.08,1.05,2.96
Default,core,14,2048,2.82,1.57,3.70
Default,core,14,4096,4.39,1.05,6.79
Default,core,14,8192,6.84,1.69,10.67
Default,core,14,16384,15.61,7.79,21.00
Default,core,14,32768,29.34,16.28,36.13
Default,core,14,65536,59.47,44.00,68.92
Default,core,14,131072,119.00,100.55,133.41
Default,core,14,262144,236.00,213.97,257.89
Default,core,14,524288,470.22,440.15,494.90
Default,core,14,1048576,869.72,719.35,916.10
Default,core,16,1,1.22,0.91,1.73
Default,core,16,2,1.21,0.93,1.72
Default,core,16,4,1.21,0.93,1.71
Default,core,16,8,1.21,0.92,1.71
Default,core,16,16,1.21,0.92,1.71
Default,core,16,32,1.43,1.02,2.07
Default,core,16,64,1.43,1.01,2.05
Default,core,16,128,2.31,1.32,3.36
Default,core,16,256,2.36,1.37,3.43
Default,core,16,512,2.51,1.47,3.72
Default,core,16,1024,2.96,1.67,4.44
Default,core,16,2048,3.90,2.23,5.94
Default,core,16,4096,4.88,2.73,7.67
Default,core,16,8192,7.40,3.98,11.51
Default,core,16,16384,17.20,7.28,25.43
Default,core,16,32768,29.57,11.87,43.29
Default,core,16,65536,54.96,20.53,81.71
Default,core,16,131072,105.71,38.37,161.26
Default,core,16,262144,206.64,75.15,314.27
Default,core,16,524288,403.50,150.32,614.50
Default,core,16,1048576,519.36,504.30,550.82
Default,core,18,1,2.32,0.99,3.11
Default,core,18,2,2.28,0.96,3.09
Default,core,18,4,2.28,0.97,3.09
Default,core,18,8,2.26,0.95,3.06
Default,core,18,16,2.26,0.93,3.05
Default,core,18,32,2.55,1.12,3.52
Default,core,18,64,2.48,1.06,3.42
Default,core,18,128,3.69,1.60,5.09
Default,core,18,256,3.76,1.68,5.18
Default,core,18,512,3.94,1.88,5.49
Default,core,18,1024,4.72,2.30,6.59
Default,core,18,2048,5.99,2.96,8.36
Default,core,18,4096,6.56,4.17,9.33
Default,core,18,8192,9.48,6.71,13.27
Default,core,18,16384,21.65,11.71,31.57
Default,core,18,32768,37.54,19.30,54.30
Default,core,18,65536,70.47,33.77,103.25
Default,core,18,131072,135.30,61.39,200.32
Default,core,18,262144,262.10,115.11,390.70
Default,core,18,524288,498.83,222.67,744.84
Default,core,18,1048576,921.31,858.64,951.85
Default,core,20,1,2.23,1.25,3.21
Default,core,20,2,2.01,0.86,2.98
Default,core,20,4,2.03,0.89,3.03
Default,core,20,8,2.03,0.88,3.02
