Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
BinaryTree,core,12,8,0.93,0.27,1.32
BinaryTree,core,12,16,0.93,0.27,1.31
BinaryTree,core,12,32,1.12,0.28,1.52
BinaryTree,core,12,64,1.09,0.27,1.48
BinaryTree,core,12,128,1.41,0.46,1.92
BinaryTree,core,12,256,1.45,0.46,1.97
BinaryTree,core,12,512,1.58,0.46,2.08
BinaryTree,core,12,1024,1.95,0.59,2.62
BinaryTree,core,12,2048,2.59,0.77,3.54
BinaryTree,core,12,4096,3.98,1.13,5.63
BinaryTree,core,12,8192,6.04,1.79,8.70
BinaryTree,core,12,16384,15.28,5.72,18.07
BinaryTree,core,12,32768,24.17,9.51,29.10
BinaryTree,core,12,65536,38.86,15.19,46.44
BinaryTree,core,12,131072,71.13,28.41,85.10
BinaryTree,core,12,262144,133.78,53.14,160.61
BinaryTree,core,12,524288,256.01,100.53,308.37
BinaryTree,core,12,1048576,527.44,213.29,623.68
BinaryTree,core,14,1,0.95,0.27,1.72
BinaryTree,core,14,2,0.93,0.27,1.71
BinaryTree,core,14,4,0.93,0.27,1.69
BinaryTree,core,14,8,0.93,0.27,1.71
BinaryTree,core,14,16,0.93,0.27,1.70
BinaryTree,core,14,32,1.15,0.29,1.92
BinaryTree,core,14,64,1.12,0.27,1.86
BinaryTree,core,14,128,1.65,0.44,2.36
BinaryTree,core,14,256,1.61,0.44,2.29
BinaryTree,core,14,512,1.73,0.44,2.54
BinaryTree,core,14,1024,2.17,0.56,3.26
BinaryTree,core,14,2048,2.89,0.73,4.41
BinaryTree,core,14,4096,4.29,1.07,6.53
BinaryTree,core,14,8192,6.88,1.77,10.61
BinaryTree,core,14,16384,17.96,5.97,22.14
BinaryTree,core,14,32768,28.26,9.49,35.71
BinaryTree,core,14,65536,49.25,16.41,63.33
BinaryTree,core,14,131072,91.12,29.94,120.84
BinaryTree,core,14,262144,171.27,55.93,229.70
BinaryTree,core,14,524288,328.25,107.11,442.52
BinaryTree,core,14,1048576,629.16,211.35,844.45
BinaryTree,core,16,1,1.27,0.27,1.78
BinaryTree,core,16,2,1.26,0.27,1.77
BinaryTree,core,16,4,1.25,0.27,1.76
BinaryTree,core,16,8,1.26,0.27,1.76
BinaryTree,core,16,16,1.26,0.27,1.73
BinaryTree,core,16,32,1.57,0.32,2.42
BinaryTree,core,16,64,1.52,0.31,2.22
BinaryTree,core,16,128,2.19,0.50,3.45
BinaryTree,core,16,256,2.25,0.51,3.53
BinaryTree,core,16,512,2.43,0.52,3.86
BinaryTree,core,16,1024,2.86,0.57,4.51
BinaryTree,core,16,2048,3.70,0.74,5.89
BinaryTree,core,16,4096,5.27,1.09,8.13
BinaryTree,core,16,8192,8.02,1.75,12.27
BinaryTree,core,16,16384,19.53,5.73,25.19
BinaryTree,core,16,32768,30.88,9.09,40.06
BinaryTree,core,16,65536,53.71,15.44,71.04
BinaryTree,core,16,131072,104.25,28.83,138.80
BinaryTree,core,16,262144,196.94,54.60,262.05
BinaryTree,core,16,524288,376.95,103.81,503.45
BinaryTree,core,16,1048576,728.72,213.54,965.83
BinaryTree,core,18,1,2.23,0.42,2.71
BinaryTree,core,18,2,2.20,0.41,2.67
BinaryTree,core,18,4,2.19,0.40,2.66
BinaryTree,core,18,8,2.19,0.40,2.65
BinaryTree,core,18,16,2.20,0.40,2.67
BinaryTree,core,18,32,2.54,0.44,3.17
BinaryTree,core,18,64,2.46,0.44,2.99
BinaryTree,core,18,128,3.10,0.62,4.01
BinaryTree,core,18,256,3.13,0.62,4.06
BinaryTree,core,18,512,3.30,0.63,4.36
BinaryTree,core,18,1024,3.87,0.86,5.15
BinaryTree,core,18,2048,4.68,0.92,6.39
BinaryTree,core,18,4096,6.50,1.29,8.72
BinaryTree,core,18,8192,9.53,1.96,12.79
BinaryTree,core,18,16384,22.40,5.83,30.45
BinaryTree,core,18,32768,35.58,9.07,48.45
BinaryTree,core,18,65536,63.86,15.91,89.48
BinaryTree,core,18,131072,119.61,29.04,168.24
BinaryTree,core,18,262144,225.07,54.39,316.93
BinaryTree,core,18,524288,430.65,104.06,612.53
BinaryTree,core,18,1048576,817.66,213.79,1162.55
BinaryTree,core,20,1,2.17,0.45,2.81
BinaryTree,core,20,2,2.14,0.46,2.76
