Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,10,1024,1.70
Binomial,core,10,2048,2.23
Binomial,core,10,4096,3.21
Binomial,core,10,8192,5.04
Binomial,core,10,16384,12.03
Binomial,core,10,32768,20.08
Binomial,core,10,65536,36.83
Binomial,core,10,131072,68.54
Binomial,core,10,262144,123.86
Binomial,core,10,524288,236.21
Binomial,core,10,1048576,454.45
Binomial,core,11,1,1.28
Binomial,core,11,2,1.02
Binomial,core,11,4,0.89
Binomial,core,11,8,0.81
Binomial,core,11,16,0.80
Binomial,core,11,32,0.97
Binomial,core,11,64,0.95
Binomial,core,11,128,1.27
Binomial,core,11,256,1.30
Binomial,core,11,512,1.38
Binomial,core,11,1024,1.72
Binomial,core,11,2048,2.24
Binomial,core,11,4096,3.33
Binomial,core,11,8192,5.20
Binomial,core,11,16384,12.07
Binomial,core,11,32768,20.26
Binomial,core,11,65536,37.47
Binomial,core,11,131072,69.75
Binomial,core,11,262144,134.54
Binomial,core,11,524288,265.04
Binomial,core,11,1048576,506.28
Binomial,core,12,1,0.83
Binomial,core,12,2,0.84
Binomial,core,12,4,0.82
Binomial,core,12,8,0.83
Binomial,core,12,16,0.83
Binomial,core,12,32,0.98
Binomial,core,12,64,0.94
Binomial,core,12,128,1.29
Binomial,core,12,256,1.33
Binomial,core,12,512,1.41
Binomial,core,12,1024,1.78
Binomial,core,12,2048,2.38
Binomial,core,12,4096,3.85
Binomial,core,12,8192,5.59
Binomial,core,12,16384,12.60
Binomial,core,12,32768,20.96
Binomial,core,12,65536,39.52
Binomial,core,12,131072,68.87
Binomial,core,12,262144,135.21
Binomial,core,12,524288,270.61
Binomial,core,12,1048576,522.85
Binomial,core,13,1,0.75
Binomial,core,13,2,0.71
Binomial,core,13,4,0.73
Binomial,core,13,8,0.73
Binomial,core,13,16,0.71
Binomial,core,13,32,0.88
Binomial,core,13,64,0.84
Binomial,core,13,128,1.26
Binomial,core,13,256,1.31
Binomial,core,13,512,1.38
Binomial,core,13,1024,2.03
Binomial,core,13,2048,2.42
Binomial,core,13,4096,3.70
Binomial,core,13,8192,5.59
Binomial,core,13,16384,13.82
Binomial,core,13,32768,23.57
Binomial,core,13,65536,42.92
Binomial,core,13,131072,80.75
Binomial,core,13,262144,155.86
Binomial,core,13,524288,308.91
Binomial,core,13,1048576,562.35
Binomial,core,14,1,0.88
Binomial,core,14,2,0.81
Binomial,core,14,4,0.78
Binomial,core,14,8,0.78
Binomial,core,14,16,0.78
Binomial,core,14,32,0.97
Binomial,core,14,64,0.92
Binomial,core,14,128,1.38
Binomial,core,14,256,1.46
