Algorithm,Allocation,Processes,MessageSize,Latency
Basic_Linear,core,9,4,1.16
Basic_Linear,core,9,8,1.22
Basic_Linear,core,9,16,1.19
Basic_Linear,core,9,32,1.36
Basic_Linear,core,9,64,1.48
Basic_Linear,core,9,128,1.68
Basic_Linear,core,9,256,1.83
Basic_Linear,core,9,512,2.12
Basic_Linear,core,9,1024,2.84
Basic_Linear,core,9,2048,3.99
Basic_Linear,core,9,4096,6.02
Basic_Linear,core,9,8192,9.31
Basic_Linear,core,9,16384,8.34
Basic_Linear,core,9,32768,14.76
Basic_Linear,core,9,65536,31.36
Basic_Linear,core,9,131072,64.33
Basic_Linear,core,9,262144,80.86
Basic_Linear,core,9,524288,130.27
Basic_Linear,core,9,1048576,523.39
Basic_Linear,core,10,1,0.99
Basic_Linear,core,10,2,0.98
Basic_Linear,core,10,4,0.99
Basic_Linear,core,10,8,1.03
Basic_Linear,core,10,16,1.08
Basic_Linear,core,10,32,1.26
Basic_Linear,core,10,64,1.39
Basic_Linear,core,10,128,1.53
Basic_Linear,core,10,256,1.69
Basic_Linear,core,10,512,2.07
Basic_Linear,core,10,1024,2.77
Basic_Linear,core,10,2048,4.02
Basic_Linear,core,10,4096,6.16
Basic_Linear,core,10,8192,9.57
Basic_Linear,core,10,16384,8.68
Basic_Linear,core,10,32768,16.06
Basic_Linear,core,10,65536,33.70
Basic_Linear,core,10,131072,69.53
Basic_Linear,core,10,262144,84.68
Basic_Linear,core,10,524288,143.63
Basic_Linear,core,10,1048576,609.14
Basic_Linear,core,11,1,0.89
Basic_Linear,core,11,2,0.89
Basic_Linear,core,11,4,0.89
Basic_Linear,core,11,8,0.95
Basic_Linear,core,11,16,0.99
Basic_Linear,core,11,32,1.13
Basic_Linear,core,11,64,1.34
Basic_Linear,core,11,128,1.47
Basic_Linear,core,11,256,1.69
Basic_Linear,core,11,512,2.03
Basic_Linear,core,11,1024,2.74
Basic_Linear,core,11,2048,4.06
Basic_Linear,core,11,4096,6.75
Basic_Linear,core,11,8192,10.22
Basic_Linear,core,11,16384,10.23
Basic_Linear,core,11,32768,13.71
