Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,11,32768,17.32
Default,core,11,65536,36.97
Default,core,11,131072,76.21
Default,core,11,262144,99.44
Default,core,11,524288,150.88
Default,core,11,1048576,691.29
Default,core,12,1,0.83
Default,core,12,2,0.85
Default,core,12,4,0.83
Default,core,12,8,0.90
Default,core,12,16,0.92
Default,core,12,32,1.07
Default,core,12,64,1.23
Default,core,12,128,1.42
Default,core,12,256,1.63
Default,core,12,512,2.00
Default,core,12,1024,2.86
Default,core,12,2048,4.56
Default,core,12,4096,6.89
Default,core,12,8192,11.33
Default,core,12,16384,9.91
Default,core,12,32768,18.54
Default,core,12,65536,39.78
Default,core,12,131072,83.03
Default,core,12,262144,103.20
Default,core,12,524288,158.16
Default,core,12,1048576,785.91
Default,core,13,1,0.98
Default,core,13,2,0.98
Default,core,13,4,0.95
Default,core,13,8,0.98
Default,core,13,16,1.05
Default,core,13,32,1.22
Default,core,13,64,1.37
Default,core,13,128,1.67
Default,core,13,256,1.84
Default,core,13,512,2.50
Default,core,13,1024,3.37
Default,core,13,2048,5.08
Default,core,13,4096,7.84
Default,core,13,8192,12.97
Default,core,13,16384,12.10
Default,core,13,32768,21.85
Default,core,13,65536,47.20
Default,core,13,131072,64.97
Default,core,13,262144,131.19
Default,core,13,524288,158.10
Default,core,13,1048576,843.92
Default,core,14,1,0.79
Default,core,14,2,0.78
Default,core,14,4,0.78
Default,core,14,8,0.86
Default,core,14,16,0.95
Default,core,14,32,1.07
Default,core,14,64,1.31
Default,core,14,128,1.60
Default,core,14,256,1.96
Default,core,14,512,2.59
Default,core,14,1024,3.42
Default,core,14,2048,5.51
Default,core,14,4096,8.73
Default,core,14,8192,14.82
Default,core,14,16384,12.45
Default,core,14,32768,23.99
Default,core,14,65536,53.30
Default,core,14,131072,67.23
Default,core,14,262144,122.07
Default,core,14,524288,176.86
Default,core,14,1048576,891.52
Default,core,15,1,0.81
Default,core,15,2,0.81
Default,core,15,4,0.81
Default,core,15,8,0.88
Default,core,15,16,0.95
Default,core,15,32,1.23
Default,core,15,64,1.36
Default,core,15,128,1.64
Default,core,15,256,2.30
Default,core,15,512,2.60
Default,core,15,1024,3.80
Default,core,15,2048,6.06
Default,core,15,4096,10.01
Default,core,15,8192,17.02
Default,core,15,16384,12.86
Default,core,15,32768,26.95
Default,core,15,65536,60.03
Default,core,15,131072,89.76
Default,core,15,262144,145.23
Default,core,15,524288,232.65
Default,core,15,1048576,948.55
Default,core,16,1,1.36
Default,core,16,2,1.34
Default,core,16,4,1.37
Default,core,16,8,1.41
Default,core,16,16,1.54
Default,core,16,32,1.90
Default,core,16,64,2.12
Default,core,16,128,2.83
Default,core,16,256,3.03
Default,core,16,512,3.57
Default,core,16,1024,5.19
Default,core,16,2048,7.70
Default,core,16,4096,12.01
Default,core,16,8192,20.38
Default,core,16,16384,21.74
Default,core,16,32768,27.97
Default,core,16,65536,63.89
Default,core,16,131072,88.55
Default,core,16,262144,135.97
Default,core,16,524288,223.11
Default,core,16,1048576,297.21
Default,core,17,1,2.58
