Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,10,1024,2.70
Binomial,core,10,2048,4.33
Binomial,core,10,4096,6.04
Binomial,core,10,8192,9.51
Binomial,core,10,16384,8.49
Binomial,core,10,32768,12.86
Binomial,core,10,65536,27.19
Binomial,core,10,131072,65.78
Binomial,core,10,262144,114.04
Binomial,core,10,524288,140.29
Binomial,core,10,1048576,598.85
Binomial,core,11,1,0.89
Binomial,core,11,2,0.88
Binomial,core,11,4,0.88
Binomial,core,11,8,0.93
Binomial,core,11,16,0.98
Binomial,core,11,32,1.12
Binomial,core,11,64,1.30
Binomial,core,11,128,1.45
Binomial,core,11,256,1.67
Binomial,core,11,512,2.03
Binomial,core,11,1024,2.74
Binomial,core,11,2048,4.03
Binomial,core,11,4096,6.41
Binomial,core,11,8192,10.12
Binomial,core,11,16384,8.95
Binomial,core,11,32768,13.50
Binomial,core,11,65536,28.69
Binomial,core,11,131072,70.56
Binomial,core,11,262144,107.76
Binomial,core,11,524288,150.94
Binomial,core,11,1048576,685.06
Binomial,core,12,1,0.85
Binomial,core,12,2,0.86
Binomial,core,12,4,0.84
Binomial,core,12,8,0.89
Binomial,core,12,16,0.91
Binomial,core,12,32,1.10
Binomial,core,12,64,1.26
Binomial,core,12,128,1.42
Binomial,core,12,256,1.66
Binomial,core,12,512,2.05
Binomial,core,12,1024,2.87
Binomial,core,12,2048,4.62
Binomial,core,12,4096,6.80
Binomial,core,12,8192,11.18
Binomial,core,12,16384,9.72
Binomial,core,12,32768,17.95
Binomial,core,12,65536,26.19
Binomial,core,12,131072,57.39
Binomial,core,12,262144,105.21
Binomial,core,12,524288,180.82
Binomial,core,12,1048576,809.89
Binomial,core,13,1,0.99
Binomial,core,13,2,1.00
Binomial,core,13,4,0.99
Binomial,core,13,8,1.03
Binomial,core,13,16,1.09
Binomial,core,13,32,1.29
Binomial,core,13,64,1.41
Binomial,core,13,128,1.68
Binomial,core,13,256,1.86
Binomial,core,13,512,2.32
Binomial,core,13,1024,3.50
Binomial,core,13,2048,5.19
Binomial,core,13,4096,7.81
Binomial,core,13,8192,12.81
Binomial,core,13,16384,11.73
Binomial,core,13,32768,22.17
Binomial,core,13,65536,47.74
Binomial,core,13,131072,90.40
Binomial,core,13,262144,121.21
Binomial,core,13,524288,146.34
Binomial,core,13,1048576,858.19
Binomial,core,14,1,0.83
Binomial,core,14,2,0.82
Binomial,core,14,4,0.81
Binomial,core,14,8,0.84
Binomial,core,14,16,0.96
Binomial,core,14,32,1.09
Binomial,core,14,64,1.31
Binomial,core,14,128,1.53
Binomial,core,14,256,1.80
Binomial,core,14,512,2.57
Binomial,core,14,1024,3.40
Binomial,core,14,2048,5.46
Binomial,core,14,4096,8.53
Binomial,core,14,8192,14.54
Binomial,core,14,16384,12.45
Binomial,core,14,32768,23.94
Binomial,core,14,65536,35.59
Binomial,core,14,131072,83.97
Binomial,core,14,262144,118.28
Binomial,core,14,524288,177.54
Binomial,core,14,1048576,895.03
Binomial,core,15,1,0.83
Binomial,core,15,2,0.83
Binomial,core,15,4,0.83
Binomial,core,15,8,0.86
Binomial,core,15,16,1.00
Binomial,core,15,32,1.25
Binomial,core,15,64,1.41
Binomial,core,15,128,1.65
Binomial,core,15,256,2.12
Binomial,core,15,512,2.60
Binomial,core,15,1024,3.79
Binomial,core,15,2048,6.35
Binomial,core,15,4096,10.28
Binomial,core,15,8192,17.25
Binomial,core,15,16384,12.77
Binomial,core,15,32768,27.09
Binomial,core,15,65536,46.54
Binomial,core,15,131072,76.98
Binomial,core,15,262144,108.27
Binomial,core,15,524288,175.35
Binomial,core,15,1048576,950.34
Binomial,core,16,1,1.38
Binomial,core,16,2,1.37
Binomial,core,16,4,1.42
Binomial,core,16,8,1.46
Binomial,core,16,16,1.57
Binomial,core,16,32,2.02
Binomial,core,16,64,2.21
Binomial,core,16,128,2.47
Binomial,core,16,256,2.99
Binomial,core,16,512,3.78
Binomial,core,16,1024,5.15
Binomial,core,16,2048,7.71
Binomial,core,16,4096,11.99
Binomial,core,16,8192,20.27
Binomial,core,16,16384,21.71
Binomial,core,16,32768,29.70
Binomial,core,16,65536,40.22
Binomial,core,16,131072,99.15
Binomial,core,16,262144,129.36
Binomial,core,16,524288,197.31
Binomial,core,16,1048576,264.35
Binomial,core,17,1,2.57
Binomial,core,17,2,2.56
Binomial,core,17,4,2.58
Binomial,core,17,8,2.66
Binomial,core,17,16,2.82
