Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,9,4,1.15
Linear_Nb,core,9,8,1.17
Linear_Nb,core,9,16,1.19
Linear_Nb,core,9,32,1.35
Linear_Nb,core,9,64,1.46
Linear_Nb,core,9,128,1.65
Linear_Nb,core,9,256,1.81
Linear_Nb,core,9,512,2.12
Linear_Nb,core,9,1024,2.80
Linear_Nb,core,9,2048,3.98
Linear_Nb,core,9,4096,6.16
Linear_Nb,core,9,8192,9.08
Linear_Nb,core,9,16384,8.95
Linear_Nb,core,9,32768,15.44
Linear_Nb,core,9,65536,31.64
Linear_Nb,core,9,131072,41.57
Linear_Nb,core,9,262144,101.27
Linear_Nb,core,9,524288,158.97
Linear_Nb,core,9,1048576,526.72
Linear_Nb,core,10,1,0.98
Linear_Nb,core,10,2,1.00
Linear_Nb,core,10,4,0.97
Linear_Nb,core,10,8,1.02
Linear_Nb,core,10,16,1.06
Linear_Nb,core,10,32,1.16
Linear_Nb,core,10,64,1.39
Linear_Nb,core,10,128,1.53
Linear_Nb,core,10,256,1.70
Linear_Nb,core,10,512,2.04
Linear_Nb,core,10,1024,2.73
Linear_Nb,core,10,2048,4.19
Linear_Nb,core,10,4096,6.37
Linear_Nb,core,10,8192,9.60
Linear_Nb,core,10,16384,8.74
Linear_Nb,core,10,32768,15.85
Linear_Nb,core,10,65536,33.66
Linear_Nb,core,10,131072,69.87
Linear_Nb,core,10,262144,96.60
Linear_Nb,core,10,524288,141.01
Linear_Nb,core,10,1048576,605.68
Linear_Nb,core,11,1,0.85
Linear_Nb,core,11,2,0.87
Linear_Nb,core,11,4,0.85
Linear_Nb,core,11,8,0.90
Linear_Nb,core,11,16,0.95
Linear_Nb,core,11,32,1.10
Linear_Nb,core,11,64,1.30
Linear_Nb,core,11,128,1.43
Linear_Nb,core,11,256,1.62
Linear_Nb,core,11,512,1.99
Linear_Nb,core,11,1024,2.71
Linear_Nb,core,11,2048,4.01
Linear_Nb,core,11,4096,6.83
Linear_Nb,core,11,8192,10.21
Linear_Nb,core,11,16384,9.19
Linear_Nb,core,11,32768,17.39
Linear_Nb,core,11,65536,36.70
Linear_Nb,core,11,131072,75.85
Linear_Nb,core,11,262144,90.62
Linear_Nb,core,11,524288,151.07
Linear_Nb,core,11,1048576,688.16
Linear_Nb,core,12,1,0.85
Linear_Nb,core,12,2,0.85
Linear_Nb,core,12,4,0.86
Linear_Nb,core,12,8,0.92
Linear_Nb,core,12,16,0.94
Linear_Nb,core,12,32,1.11
Linear_Nb,core,12,64,1.27
Linear_Nb,core,12,128,1.44
Linear_Nb,core,12,256,1.63
Linear_Nb,core,12,512,2.05
Linear_Nb,core,12,1024,2.89
Linear_Nb,core,12,2048,4.66
Linear_Nb,core,12,4096,7.11
Linear_Nb,core,12,8192,11.36
Linear_Nb,core,12,16384,10.26
Linear_Nb,core,12,32768,18.55
Linear_Nb,core,12,65536,39.19
Linear_Nb,core,12,131072,59.20
Linear_Nb,core,12,262144,106.96
Linear_Nb,core,12,524288,144.87
Linear_Nb,core,12,1048576,803.01
Linear_Nb,core,13,1,1.00
Linear_Nb,core,13,2,1.01
Linear_Nb,core,13,4,1.02
Linear_Nb,core,13,8,1.03
Linear_Nb,core,13,16,1.08
Linear_Nb,core,13,32,1.30
Linear_Nb,core,13,64,1.44
Linear_Nb,core,13,128,1.70
Linear_Nb,core,13,256,1.93
Linear_Nb,core,13,512,2.36
Linear_Nb,core,13,1024,3.38
Linear_Nb,core,13,2048,5.35
Linear_Nb,core,13,4096,7.88
Linear_Nb,core,13,8192,13.02
Linear_Nb,core,13,16384,12.29
Linear_Nb,core,13,32768,22.30
Linear_Nb,core,13,65536,47.39
Linear_Nb,core,13,131072,98.76
Linear_Nb,core,13,262144,120.36
Linear_Nb,core,13,524288,149.41
Linear_Nb,core,13,1048576,828.33
Linear_Nb,core,14,1,0.90
Linear_Nb,core,14,2,0.81
Linear_Nb,core,14,4,0.80
Linear_Nb,core,14,8,0.84
Linear_Nb,core,14,16,0.96
Linear_Nb,core,14,32,1.09
Linear_Nb,core,14,64,1.33
Linear_Nb,core,14,128,1.55
Linear_Nb,core,14,256,1.81
Linear_Nb,core,14,512,2.61
Linear_Nb,core,14,1024,3.43
Linear_Nb,core,14,2048,5.51
Linear_Nb,core,14,4096,8.68
Linear_Nb,core,14,8192,14.80
Linear_Nb,core,14,16384,12.47
Linear_Nb,core,14,32768,23.72
Linear_Nb,core,14,65536,53.53
Linear_Nb,core,14,131072,76.15
Linear_Nb,core,14,262144,141.04
Linear_Nb,core,14,524288,172.28
Linear_Nb,core,14,1048576,914.30
Linear_Nb,core,15,1,0.82
Linear_Nb,core,15,2,0.82
Linear_Nb,core,15,4,0.82
Linear_Nb,core,15,8,0.88
Linear_Nb,core,15,16,0.97
Linear_Nb,core,15,32,1.25
Linear_Nb,core,15,64,1.40
Linear_Nb,core,15,128,1.63
Linear_Nb,core,15,256,1.95
Linear_Nb,core,15,512,2.96
Linear_Nb,core,15,1024,3.84
Linear_Nb,core,15,2048,6.06
Linear_Nb,core,15,4096,10.04
Linear_Nb,core,15,8192,17.06
Linear_Nb,core,15,16384,13.49
Linear_Nb,core,15,32768,26.05
Linear_Nb,core,15,65536,59.50
Linear_Nb,core,15,131072,83.93
Linear_Nb,core,15,262144,145.63
