Pixel_Value,Iteration_Value,Execution_Time
5000,5000,9.64
5000,7500,12.96
5000,10000,16.32
7500,5000,21.69
7500,7500,29.22
7500,10000,36.74
10000,5000,38.58
10000,7500,52.01
10000,10000,65.32
