Iteration,Threads,Elapsed Time(s)
1,2,0.393481
1,4,0.200008
1,6,0.135703
1,8,0.103370
1,10,0.084542
1,12,0.071585
1,14,0.073450
1,16,0.072941
1,18,0.070781
1,20,0.071095
1,22,0.069694
1,24,0.068584
1,2,0.393334
1,4,0.199441
1,6,0.136407
1,8,0.102828
1,10,0.083795
1,12,0.071789
1,14,0.074236
1,16,0.071642
1,18,0.069663
1,20,0.070242
1,22,0.069449
1,24,0.070270
2,8,0.045070
2,8,0.177461
