Algorithm,Allocation,Processes,Latency, MinLatency, MaxLatency
Default,core,2,0.25
Default,core,4,0.69
Default,core,6,0.92
Default,core,8,0.98
Default,core,10,1.44
Default,core,12,1.61
Default,core,14,2.41
Default,core,16,1.87
Default,core,18,3.04
Default,core,20,3.58
Default,core,22,3.64
Default,core,24,3.89
Default,core,26,3.96
Default,core,28,3.97
Default,core,30,4.82
Default,core,32,3.27
Default,core,34,4.29
Default,core,36,4.53
Default,core,38,4.93
Default,core,40,5.05
Default,core,42,5.25
Default,core,44,5.16
Default,core,46,5.57
Default,core,48,5.72
Default,socket,2,0.49
Default,socket,4,1.30
Default,socket,6,1.66
Default,socket,8,1.55
Default,socket,10,1.97
Default,socket,12,2.22
Default,socket,14,2.38
Default,socket,16,2.20
Default,socket,18,2.36
Default,socket,20,2.51
Default,socket,22,2.51
Default,socket,24,2.57
Default,socket,26,4.09
Default,socket,28,4.55
Default,socket,30,4.63
Default,socket,32,3.48
Default,socket,34,4.70
Default,socket,36,4.91
Default,socket,38,5.00
Default,socket,40,5.23
Default,socket,42,5.17
Default,socket,44,5.16
Default,socket,46,5.19
Default,socket,48,5.18
Default,node,2,1.05
Default,node,4,2.60
Default,node,6,2.70
Default,node,8,2.45
Default,node,10,2.72
Default,node,12,3.07
Default,node,14,3.17
Default,node,16,2.76
Default,node,18,3.16
Default,node,20,3.17
Default,node,22,3.36
Default,node,24,3.46
Default,node,26,3.61
Default,node,28,3.83
Default,node,30,3.86
Default,node,32,3.34
Default,node,34,3.61
Default,node,36,3.66
Default,node,38,3.79
Default,node,40,3.80
Default,node,42,3.91
Default,node,44,3.82
Default,node,46,3.96
Default,node,48,3.76
