Core_1,Core_2,Message_Size,Latency
0,9,65536,8.44
0,9,131072,15.09
0,9,262144,17.28
0,9,524288,32.61
0,9,1048576,68.33
0,10,1,0.19
0,10,2,0.19
0,10,4,0.19
0,10,8,0.19
0,10,16,0.19
0,10,32,0.23
0,10,64,0.23
0,10,128,0.32
0,10,256,0.36
0,10,512,0.44
0,10,1024,0.53
0,10,2048,0.75
0,10,4096,1.2
0,10,8192,2.06
0,10,16384,3.2
0,10,32768,5.08
0,10,65536,8.66
0,10,131072,15.48
0,10,262144,17.02
0,10,524288,32.25
0,10,1048576,68.36
0,11,1,0.19
0,11,2,0.19
0,11,4,0.19
0,11,8,0.19
0,11,16,0.19
0,11,32,0.24
0,11,64,0.23
0,11,128,0.33
0,11,256,0.38
0,11,512,0.45
0,11,1024,0.56
0,11,2048,0.76
0,11,4096,1.21
0,11,8192,2.04
0,11,16384,3.17
0,11,32768,4.98
0,11,65536,8.45
0,11,131072,15.15
0,11,262144,17.25
0,11,524288,32.63
0,11,1048576,67.9
0,12,1,0.41
0,12,2,0.4
0,12,4,0.4
0,12,8,0.4
0,12,16,0.4
0,12,32,0.55
0,12,64,0.52
0,12,128,0.96
0,12,256,0.99
0,12,512,1.2
0,12,1024,1.37
0,12,2048,1.67
0,12,4096,2.49
0,12,8192,3.76
0,12,16384,5.82
0,12,32768,9.89
0,12,65536,17.89
0,12,131072,33.94
0,12,262144,18.59
0,12,524288,34.15
0,12,1048576,70.08
0,13,1,0.41
0,13,2,0.4
0,13,4,0.4
0,13,8,0.4
0,13,16,0.4
0,13,32,0.57
0,13,64,0.55
0,13,128,0.96
0,13,256,1.09
0,13,512,1.27
0,13,1024,1.46
0,13,2048,2.0
0,13,4096,2.8
0,13,8192,4.38
0,13,16384,7.15
0,13,32768,12.23
0,13,65536,22.31
0,13,131072,42.26
0,13,262144,18.2
0,13,524288,34.74
0,13,1048576,73.92
0,14,1,0.45
0,14,2,0.43
0,14,4,0.42
0,14,8,0.41
0,14,16,0.41
0,14,32,0.56
0,14,64,0.55
0,14,128,0.96
0,14,256,1.07
0,14,512,1.25
0,14,1024,1.45
0,14,2048,1.99
0,14,4096,2.77
0,14,8192,4.34
0,14,16384,7.12
0,14,32768,12.2
0,14,65536,22.29
0,14,131072,42.63
0,14,262144,18.1
0,14,524288,33.62
0,14,1048576,69.71
0,15,1,0.48
0,15,2,0.46
0,15,4,0.44
0,15,8,0.42
0,15,16,0.42
0,15,32,0.56
0,15,64,0.55
0,15,128,0.98
0,15,256,1.07
0,15,512,1.25
0,15,1024,1.46
0,15,2048,2.01
0,15,4096,2.8
0,15,8192,4.36
0,15,16384,7.13
0,15,32768,12.16
0,15,65536,21.97
0,15,131072,41.65
0,15,262144,18.54
0,15,524288,33.78
0,15,1048576,70.59
0,16,1,0.45
0,16,2,0.44
0,16,4,0.42
0,16,8,0.41
0,16,16,0.4
0,16,32,0.57
0,16,64,0.55
0,16,128,0.96
0,16,256,1.06
0,16,512,1.27
0,16,1024,1.46
0,16,2048,1.99
0,16,4096,2.77
0,16,8192,4.33
0,16,16384,7.19
0,16,32768,12.15
0,16,65536,22.19
0,16,131072,41.59
0,16,262144,18.19
0,16,524288,33.52
0,16,1048576,69.75
0,17,1,0.41
0,17,2,0.41
0,17,4,0.4
0,17,8,0.4
0,17,16,0.4
0,17,32,0.56
0,17,64,0.55
0,17,128,0.93
0,17,256,1.06
0,17,512,1.23
0,17,1024,1.45
0,17,2048,1.99
0,17,4096,2.78
0,17,8192,4.34
0,17,16384,7.09
0,17,32768,12.11
0,17,65536,21.87
0,17,131072,41.52
0,17,262144,17.94
0,17,524288,32.97
0,17,1048576,69.43
0,18,1,0.42
0,18,2,0.41
0,18,4,0.41
0,18,8,0.4
0,18,16,0.4
0,18,32,0.56
0,18,64,0.55
0,18,128,0.95
0,18,256,1.08
0,18,512,1.26
0,18,1024,1.46
0,18,2048,1.99
0,18,4096,2.77
0,18,8192,4.35
0,18,16384,7.14
0,18,32768,12.21
0,18,65536,22.14
0,18,131072,42.44
0,18,262144,18.1
0,18,524288,33.49
0,18,1048576,69.83
0,19,1,0.4
0,19,2,0.4
0,19,4,0.4
0,19,8,0.4
0,19,16,0.4
0,19,32,0.55
0,19,64,0.54
0,19,128,0.98
0,19,256,1.05
0,19,512,1.27
0,19,1024,1.46
0,19,2048,2.0
0,19,4096,2.82
0,19,8192,4.34
0,19,16384,7.07
0,19,32768,12.03
0,19,65536,21.74
0,19,131072,41.05
0,19,262144,18.39
0,19,524288,33.54
0,19,1048576,69.51
0,20,1,0.46
0,20,2,0.45
0,20,4,0.44
0,20,8,0.43
0,20,16,0.42
0,20,32,0.57
0,20,64,0.55
0,20,128,0.98
0,20,256,1.09
0,20,512,1.27
0,20,1024,1.48
0,20,2048,1.99
0,20,4096,2.81
0,20,8192,4.37
0,20,16384,7.15
0,20,32768,12.25
0,20,65536,22.13
0,20,131072,42.04
0,20,262144,18.17
0,20,524288,33.22
0,20,1048576,69.3
0,21,1,0.44
0,21,2,0.43
0,21,4,0.42
0,21,8,0.4
0,21,16,0.4
0,21,32,0.57
0,21,64,0.54
0,21,128,0.98
0,21,256,1.07
0,21,512,1.22
0,21,1024,1.45
0,21,2048,1.99
0,21,4096,2.79
0,21,8192,4.36
0,21,16384,7.13
0,21,32768,12.2
0,21,65536,22.26
0,21,131072,42.32
0,21,262144,18.15
0,21,524288,33.45
0,21,1048576,69.98
0,22,1,0.45
0,22,2,0.43
0,22,4,0.42
0,22,8,0.41
0,22,16,0.4
0,22,32,0.55
0,22,64,0.54
0,22,128,0.95
0,22,256,1.04
0,22,512,1.24
0,22,1024,1.46
0,22,2048,1.99
0,22,4096,2.78
0,22,8192,4.32
0,22,16384,7.04
0,22,32768,12.01
0,22,65536,21.83
0,22,131072,41.66
0,22,262144,17.96
0,22,524288,32.82
0,22,1048576,67.53
0,23,1,0.43
0,23,2,0.43
0,23,4,0.42
0,23,8,0.41
0,23,16,0.41
0,23,32,0.56
0,23,64,0.55
0,23,128,1.01
0,23,256,1.03
0,23,512,1.26
0,23,1024,1.45
0,23,2048,1.99
0,23,4096,2.78
0,23,8192,4.36
0,23,16384,7.11
0,23,32768,12.18
0,23,65536,22.2
0,23,131072,42.55
0,23,262144,18.07
0,23,524288,33.45
0,23,1048576,69.79
1,2,1,0.23
1,2,2,0.23
1,2,4,0.23
1,2,8,0.23
1,2,16,0.23
1,2,32,0.27
1,2,64,0.26
1,2,128,0.34
1,2,256,0.38
1,2,512,0.45
1,2,1024,0.54
1,2,2048,0.75
1,2,4096,1.2
1,2,8192,2.03
1,2,16384,3.17
1,2,32768,4.95
1,2,65536,8.35
1,2,131072,14.91
1,2,262144,17.04
1,2,524288,32.15
1,2,1048576,67.67
1,3,1,0.19
1,3,2,0.19
1,3,4,0.19
1,3,8,0.19
1,3,16,0.19
1,3,32,0.24
1,3,64,0.24
1,3,128,0.32
1,3,256,0.37
1,3,512,0.44
1,3,1024,0.54
1,3,2048,0.76
1,3,4096,1.21
1,3,8192,2.04
1,3,16384,3.16
1,3,32768,5.02
1,3,65536,8.45
1,3,131072,15.12
1,3,262144,17.28
1,3,524288,32.25
1,3,1048576,67.74
1,4,1,0.19
1,4,2,0.18
1,4,4,0.19
1,4,8,0.18
1,4,16,0.19
1,4,32,0.23
1,4,64,0.22
1,4,128,0.31
1,4,256,0.35
1,4,512,0.43
1,4,1024,0.53
1,4,2048,0.74
1,4,4096,1.19
1,4,8192,2.02
1,4,16384,3.15
1,4,32768,4.98
1,4,65536,8.35
1,4,131072,14.82
1,4,262144,17.11
1,4,524288,31.98
1,4,1048576,68.83
1,5,1,0.2
1,5,2,0.19
1,5,4,0.19
1,5,8,0.19
1,5,16,0.18
1,5,32,0.23
1,5,64,0.22
1,5,128,0.31
1,5,256,0.35
1,5,512,0.43
1,5,1024,0.53
